"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
            This test validates that the feedback form structure is consistent across all negative ratings.
            
            Test Steps:
            1. Test each rating from 1 to 4
            2. Verify that the same form questions appear for all negative ratings
            3. Ensure consistent form structure and elements
            4. Submit the form after each rating to prepare for the next
            5. Verify the thank you message after submission
        ","15103","should submit the feedback form across all negative ratings","Desktop Chrome","Fri Jul 04 17:00:44 IST 2025","passed","Fri Jul 04 17:00:59 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 5.
                
                Test Steps:
                1. Open rating widget and select rating ""5""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes (positive options)
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like most?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","5368","should allow user to interact with feedback form for rating 5","Desktop Chrome","Fri Jul 04 16:59:49 IST 2025","passed","Fri Jul 04 16:59:55 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
            This test validates the feedback flow for positive ratings.
            
            Test Steps:
            1. Open the rating widget
            2. Select rating ""6"" (highest rating)
            3. Verify the follow-up feedback prompt appears
            4. Verify heading: ""Tell us more""
        ","2988","should show feedback form when rating 6 is selected","Desktop Chrome","Fri Jul 04 16:59:37 IST 2025","passed","Fri Jul 04 16:59:40 IST 2025","WOGAA Sentiments Rating Widget","helpUsImprove.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 3.
      
      Test Steps:
      1. Open rating widget and select rating ""3""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","5447","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 3","Desktop Chrome","Fri Jul 04 17:00:16 IST 2025","passed","Fri Jul 04 17:00:21 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 2.
      
      Test Steps:
      1. Open rating widget and select rating ""2""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","5661","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 2","Desktop Chrome","Fri Jul 04 16:59:55 IST 2025","passed","Fri Jul 04 17:00:01 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
            This test validates that the WOGAA Documentation website loads correctly.
            
            Test Steps:
            1. Launch the WOGAA Documentation website
            2. Verify the page title is correct
        ","5969","should load WOGAA homepage successfully","Desktop Chrome","Fri Jul 04 16:59:20 IST 2025","passed","Fri Jul 04 16:59:26 IST 2025","WOGAA Sentiments Rating Widget","helpUsImprove.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 6.
      
      Test Steps:
      1. Open rating widget and select rating ""6""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","5590","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 6","Desktop Chrome","Fri Jul 04 17:00:12 IST 2025","passed","Fri Jul 04 17:00:18 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 3.
        
        Test Steps:
        1. Open the rating widget and select rating ""3""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","4399","should keep submit button disabled when only optional checkboxes selected for rating 3","Desktop Chrome","Fri Jul 04 17:00:21 IST 2025","passed","Fri Jul 04 17:00:25 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates the feedback form for positive rating 5.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""5""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required) - with positive options
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like most?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form answer elements are properly displayed
            ","3590","should display correct feedback form for rating 5","Desktop Chrome","Fri Jul 04 16:59:46 IST 2025","passed","Fri Jul 04 16:59:49 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 3.
                
                Test Steps:
                1. Open rating widget and select rating ""3""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like least?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","6463","should allow user to interact with feedback form for rating 3","Desktop Chrome","Fri Jul 04 17:00:09 IST 2025","passed","Fri Jul 04 17:00:16 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
            This test validates the rating popup can be closed properly.
            
            Test Steps:
            1. Open the rating widget
            2. Click the close button
            3. Verify the popup is closed
            4. Confirm the rating heading is no longer visible
        ","3761","should close rating popup when close button is clicked","Desktop Chrome","Fri Jul 04 16:59:30 IST 2025","passed","Fri Jul 04 16:59:34 IST 2025","WOGAA Sentiments Rating Widget","helpUsImprove.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 4.
        
        Test Steps:
        1. Open the rating widget and select rating ""4""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","4169","should keep submit button disabled when only optional checkboxes selected for rating 4","Desktop Chrome","Fri Jul 04 17:00:40 IST 2025","passed","Fri Jul 04 17:00:44 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 5.
      
      Test Steps:
      1. Open rating widget and select rating ""5""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","5593","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 5","Desktop Chrome","Fri Jul 04 16:59:55 IST 2025","passed","Fri Jul 04 17:00:00 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
                This test validates the feedback form for negative rating 4.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""4""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required)
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like least?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form elements are properly displayed
            ","3289","should display correct feedback form for rating 4","Desktop Chrome","Fri Jul 04 17:00:25 IST 2025","passed","Fri Jul 04 17:00:29 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 2.
                
                Test Steps:
                1. Open rating widget and select rating ""2""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like least?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","6510","should allow user to interact with feedback form for rating 2","Desktop Chrome","Fri Jul 04 16:59:49 IST 2025","passed","Fri Jul 04 16:59:55 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
            This test validates the complete sentiment feedback flow.
            
            Test Steps:
            1. Open the rating widget
            2. Verify all elements are present
            3. Select a rating
            4. Verify feedback form appears
            5. Close the feedback form
            6. Reopen and test different rating
        ","5631","should complete full sentiment feedback flow","Desktop Chrome","Fri Jul 04 16:59:40 IST 2025","passed","Fri Jul 04 16:59:45 IST 2025","WOGAA Sentiments Rating Widget","helpUsImprove.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 4.
                
                Test Steps:
                1. Open rating widget and select rating ""4""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like least?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","6358","should allow user to interact with feedback form for rating 4","Desktop Chrome","Fri Jul 04 17:00:29 IST 2025","passed","Fri Jul 04 17:00:35 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
            This test validates the feedback flow for negative ratings.
            
            Test Steps:
            1. Open the rating widget
            2. Select rating ""1"" (lowest rating)
            3. Verify the follow-up feedback prompt appears
            4. Verify heading: ""Tell us more""
        ","2860","should show feedback form when rating 1 is selected","Desktop Chrome","Fri Jul 04 16:59:34 IST 2025","passed","Fri Jul 04 16:59:37 IST 2025","WOGAA Sentiments Rating Widget","helpUsImprove.spec.js","",""
"
                This test validates the feedback form for negative rating 2.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""2""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required)
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like least?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form elements are properly displayed
            ","3610","should display correct feedback form for rating 2","Desktop Chrome","Fri Jul 04 16:59:45 IST 2025","passed","Fri Jul 04 16:59:49 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 5.
        
        Test Steps:
        1. Open the rating widget and select rating ""5""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","3359","should keep submit button disabled when only optional checkboxes selected for rating 5","Desktop Chrome","Fri Jul 04 17:00:00 IST 2025","passed","Fri Jul 04 17:00:04 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
                This test validates the feedback form for negative rating 1.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""1""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required)
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like least?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form elements are properly displayed
            ","7801","should display correct feedback form for rating 1","Desktop Chrome","Fri Jul 04 16:59:20 IST 2025","passed","Fri Jul 04 16:59:28 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 4.
      
      Test Steps:
      1. Open rating widget and select rating ""4""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","4883","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 4","Desktop Chrome","Fri Jul 04 17:00:35 IST 2025","passed","Fri Jul 04 17:00:40 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
            This test validates that the sentiment rating widget appears correctly.
            
            Test Steps:
            1. Click on the 'Help us improve' ribbon button
            2. Verify the rating widget opens
            3. Verify the prompt heading: ""Rate your experience with this website""
            4. Verify all six rating buttons (1 to 6) are visible
            5. Confirm the satisfaction scale labels: ""NOT SATISFIED"" and ""VERY SATISFIED""
        ","3120","should display rating widget when Help us improve is clicked","Desktop Chrome","Fri Jul 04 16:59:27 IST 2025","passed","Fri Jul 04 16:59:30 IST 2025","WOGAA Sentiments Rating Widget","helpUsImprove.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 1.
                
                Test Steps:
                1. Open rating widget and select rating ""1""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like least?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","6484","should allow user to interact with feedback form for rating 1","Desktop Chrome","Fri Jul 04 16:59:29 IST 2025","passed","Fri Jul 04 16:59:35 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 6.
                
                Test Steps:
                1. Open rating widget and select rating ""6""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes (positive options)
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like most?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","5379","should allow user to interact with feedback form for rating 6","Desktop Chrome","Fri Jul 04 17:00:07 IST 2025","passed","Fri Jul 04 17:00:12 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
                This test validates the feedback form for positive rating 6.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""6""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required) - with positive options
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like most?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form answer elements are properly displayed
            ","3158","should display correct feedback form for rating 6","Desktop Chrome","Fri Jul 04 17:00:04 IST 2025","passed","Fri Jul 04 17:00:07 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 1.
      
      Test Steps:
      1. Open rating widget and select rating ""1""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","5860","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 1","Desktop Chrome","Fri Jul 04 16:59:35 IST 2025","passed","Fri Jul 04 16:59:41 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 2.
        
        Test Steps:
        1. Open the rating widget and select rating ""2""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","4553","should keep submit button disabled when only optional checkboxes selected for rating 2","Desktop Chrome","Fri Jul 04 17:00:01 IST 2025","passed","Fri Jul 04 17:00:06 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 6.
        
        Test Steps:
        1. Open the rating widget and select rating ""6""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","3563","should keep submit button disabled when only optional checkboxes selected for rating 6","Desktop Chrome","Fri Jul 04 17:00:18 IST 2025","passed","Fri Jul 04 17:00:21 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
            This test validates that the feedback form structure is consistent across all positive ratings.
            
            Test Steps:
            1. Test each rating from 5 to 6
            2. Verify that the same form questions appear for all positive ratings
            3. Ensure consistent form structure and elements
            4. Submit the form after each rating to prepare for the next
            5. Verify the thank you message after submission
        ","8765","should submit the feedback form across all positive ratings","Desktop Chrome","Fri Jul 04 17:00:21 IST 2025","passed","Fri Jul 04 17:00:30 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 1.
        
        Test Steps:
        1. Open the rating widget and select rating ""1""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","4142","should keep submit button disabled when only optional checkboxes selected for rating 1","Desktop Chrome","Fri Jul 04 16:59:41 IST 2025","passed","Fri Jul 04 16:59:45 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates the feedback form for negative rating 3.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""3""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required)
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like least?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form elements are properly displayed
            ","3516","should display correct feedback form for rating 3","Desktop Chrome","Fri Jul 04 17:00:06 IST 2025","passed","Fri Jul 04 17:00:09 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
